id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
2041_CCE1706_MZmine3_SIRIUS_1_14153	C18H31NO8	[M - H2O + H]+	Amino acids and Peptides	0.100429005920887	Peptide alkaloids	0.17011277377605438	Simple amide alkaloids	0.3489796817302704	Amino acids	0.7307499647140503	Amino acids and derivatives	0.7810624241828918	Amino acids, peptides, and analogues	0.7829148769378662	Carboxylic acids and derivatives	0.9993403553962708	Organic acids and derivatives	0.999687671661377	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Polyols; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1815_CCE1706_MZmine3_SIRIUS_1_11915	C21H33NO6	[M + Na]+	Terpenoids	0.4859159588813782	Diterpenoids	0.4737376868724823	Open-chain polyketides	0.1838931143283844	Phenol ethers	0.5302966237068176					Phenol ethers	0.5302966237068176	Benzenoids	0.5273612141609192	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Phenol ethers; Benzenoids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
917_CCE1706_MZmine3_SIRIUS_1_4218	C11H13N5O4	[M + H]+	Alkaloids	0.7995356321334839	Pseudoalkaloids	0.7661789655685425	Purine alkaloids	0.6849873065948486	Amino acids and derivatives	0.9906163811683655	Amino acids and derivatives	0.9906163811683655	Amino acids, peptides, and analogues	0.9906572103500366	Carboxylic acids and derivatives	0.9995519518852234	Organic acids and derivatives	0.9996656179428101	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Glycerolipids; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 1,2-diols; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
232_CCE1706_MZmine3_SIRIUS_1_1017	C11H18N2O5	[M + H]+	Alkaloids	0.6382809281349182	Mycosporine derivatives	0.758233368396759	Mycosporine and Mycosporine-like amino acids	0.656878650188446	Fatty Acyls	0.5794787406921387					Fatty Acyls	0.5794787406921387	Lipids and lipid-like molecules	0.3811405599117279	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Amines; Cyclic ketones; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1816_CCE1706_MZmine3_SIRIUS_1_11950	C18H29N3O2	[M + H]+	Alkaloids	0.9589982628822327	Ornithine alkaloids	0.30975785851478577	Piperidine alkaloids	0.10678669810295105	Benzene and substituted derivatives	0.8580360412597656					Benzene and substituted derivatives	0.8580360412597656	Benzenoids	0.6953455209732056	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1592_CCE1706_MZmine3_SIRIUS_1_9828	C11H21NO3	[M + H]+	Alkaloids	0.8638502359390259	Ornithine alkaloids	0.5395042896270752	Piperidine alkaloids	0.5615764856338501	Amino acids and derivatives	0.9606292247772217	Amino acids and derivatives	0.9606292247772217	Amino acids, peptides, and analogues	0.9634740352630615	Carboxylic acids and derivatives	0.990882158279419	Organic acids and derivatives	0.9942626357078552	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1367_CCE1706_MZmine3_SIRIUS_1_7765	C20H40N4O3	[M + H]+	Fatty acids	0.6983367204666138	Fatty amides	0.413785457611084	N-acyl amines	0.42417633533477783	Amino acids and derivatives	0.970737636089325	Amino acids and derivatives	0.970737636089325	Amino acids, peptides, and analogues	0.9695688486099243	Carboxylic acids and derivatives	0.9698038101196289	Organic acids and derivatives	0.9972463846206665	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Hydroxamic acids; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2042_CCE1706_MZmine3_SIRIUS_1_14202	C17H22O7	[M + H]+	Terpenoids	0.639085590839386	Sesquiterpenoids	0.9136782288551331	Shikimic acids and derivatives	0.30110424757003784	Alkyl-phenylketones	0.759618878364563	Ketones	0.36489731073379517	Carbonyl compounds	0.949493408203125	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Phenols; Anisoles; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Acyloins; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
918_CCE1706_MZmine3_SIRIUS_1_4222	C15H23N5O	[M + Na]+	Alkaloids	0.9944879412651062	Nicotinic acid alkaloids	0.5466445088386536	Pyridine alkaloids	0.5869994759559631	Pyrimidines and pyrimidine derivatives	0.5850796699523926			Pyrimidines and pyrimidine derivatives	0.5850796699523926	Diazines	0.388162225484848	Organoheterocyclic compounds	0.9994106292724609	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1144_CCE1706_MZmine3_SIRIUS_1_5821	C16H24N2O6	[M - H4O2 + H]+	Alkaloids	0.9150529503822327	Nicotinic acid alkaloids	0.43962159752845764	Pyridine alkaloids	0.4825531840324402	N-acyl-alpha amino acids and derivatives	0.5881837010383606	Amino acids and derivatives	0.9047450423240662	Amino acids, peptides, and analogues	0.9072368144989014	Carboxylic acids and derivatives	0.9779552817344666	Organic acids and derivatives	0.9939019680023193	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyridines and derivatives; Alkyl aryl ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Methyl esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1819_CCE1706_MZmine3_SIRIUS_1_12003	C24H44N4O4	[M + H]+	Amino acids and Peptides	0.8554925322532654	Small peptides	0.6267979145050049	Tripeptides	0.5520532727241516	Dipeptides	0.983407199382782	Peptides	0.982535719871521	Amino acids, peptides, and analogues	0.979986846446991	Carboxylic acids and derivatives	0.991159975528717	Organic acids and derivatives	0.9995600581169128	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1593_CCE1706_MZmine3_SIRIUS_1_9834	C15H15F3N4O	[M + H]+	Alkaloids	0.9611228108406067	Tryptophan alkaloids	0.3352798521518707	Pyridine alkaloids	0.284854531288147	Trifluoromethylbenzenes	0.554368793964386			Trifluoromethylbenzenes	0.554368793964386	Benzene and substituted derivatives	0.45322680473327637	Benzenoids	0.8903712034225464	Organic compounds; Organoheterocyclic compounds; Pyrazoles; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Carbonyl compounds; Benzenoids; Amines; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
234_CCE1706_MZmine3_SIRIUS_1_1019	C12H18O6	[M - H2O + H]+	Fatty acids	0.9038190841674805	Fatty Acids and Conjugates	0.953234851360321	Dicarboxylic acids	0.9245738983154297	Branched fatty acids	0.563311755657196	Branched fatty acids	0.563311755657196	Fatty acids and conjugates	0.6689016819000244	Fatty Acyls	0.7643782496452332	Lipids and lipid-like molecules	0.72211092710495	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1368_CCE1706_MZmine3_SIRIUS_1_7768	C13H18N2O3	[M + H]+	Amino acids and Peptides	0.9778834581375122	Small peptides	0.9862791299819946	Dipeptides	0.7906596660614014	Dipeptides	0.9331393241882324	Peptides	0.8219943642616272	Amino acids, peptides, and analogues	0.9268255233764648	Carboxylic acids and derivatives	0.9573442339897156	Organic acids and derivatives	0.9878684282302856	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Organic oxides; Hydrocarbon derivatives; Alanine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
919_CCE1706_MZmine3_SIRIUS_1_4243	C17H28O10	[M + H3N + H]+	Terpenoids	0.6685227751731873	Monoterpenoids	0.8761002421379089	Fatty acyl glycosides of mono- and disaccharides	0.5925799608230591	Carbohydrates and carbohydrate conjugates	0.9856465458869934			Carbohydrates and carbohydrate conjugates	0.9856465458869934	Organooxygen compounds	0.9999998807907104	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
10_CCE1706_MZmine3_SIRIUS_1_29	C4H5ClO2	[M + K]+	Fatty acids	0.2813045382499695	Phenolic acids (C6-C1)	0.07476562261581421	Furans	0.08695447444915771	Chlorophenols	0.7648152709007263	Chlorophenols	0.7648152709007263	Halophenols	0.6291584372520447	Phenols	0.3721003830432892	Benzenoids	0.4143367111682892	Organic compounds; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Chlorobenzenes; Organochlorides; Halophenols; Chlorophenols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1594_CCE1706_MZmine3_SIRIUS_1_9844	C16H25NO5	[M + H]+	Amino acids and Peptides	0.5929453372955322	Small peptides	0.16651390492916107	Open-chain polyketides	0.13017258048057556	Proline and derivatives	0.5321887135505676	Amino acids and derivatives	0.973383903503418	Amino acids, peptides, and analogues	0.973893940448761	Carboxylic acids and derivatives	0.9989596605300903	Organic acids and derivatives	0.9984365105628967	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Proline and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1370_CCE1706_MZmine3_SIRIUS_1_7773	C12H23NO3S	[M + H]+	Fatty acids	0.669316828250885	Fatty amides	0.47074663639068604	N-acyl amines	0.23448286950588226	N-acyl-alpha amino acids	0.8927736878395081	Amino acids and derivatives	0.8136566281318665	Amino acids, peptides, and analogues	0.8150768280029297	Carboxylic acids and derivatives	0.9995414018630981	Organic acids and derivatives	0.9998795986175537	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
467_CCE1706_MZmine3_SIRIUS_1_1647	C11H20N2O3	[M + H]+	Amino acids and Peptides	0.9995183944702148	Small peptides	0.999369204044342	Dipeptides	0.9999990463256836	Dipeptides	0.9998975992202759	Peptides	0.9996901750564575	Amino acids, peptides, and analogues	0.9999970197677612	Carboxylic acids and derivatives	0.9999997615814209	Organic acids and derivatives	1.0	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1147_CCE1706_MZmine3_SIRIUS_1_5840	C9H12O3	[M + H]+	Polyketides	0.1792970448732376	Cyclic polyketides	0.19659477472305298	Simple cyclic polyketides	0.5276117324829102	Beta-diketones	0.9040706157684326	1,3-dicarbonyl compounds	0.6976459622383118	Carbonyl compounds	0.9293826818466187	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Ketones; 1,3-dicarbonyl compounds; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Cyclic ketones; Beta-diketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
